"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita)","EN.GHG.CO2.PC.CE.AR5","","","","","","","","","","","0.430873621713316","0.493356696891853","0.682205798749289","0.76330640319731","0.747227887367393","0.98807787974955","0.969709429824561","1.14885626493684","1.2266911664625","1.28566842932203","1.33368942896727","1.37212489473771","1.3382074547947","1.3595166163142","1.57072224606922","1.68967081389321","1.90051893010295","2.17887388224953","2.41020714297753","3.26919577122247","3.20303411789078","3.43571688721622","3.6345192377364","3.41453484426953","3.68322701204975","3.93960278178059","2.49093602823382","3.97446147785078","3.97055997105742","3.96948437970533","2.9683843334658","2.97356707750522","3.22566631187957","3.67666008074908","3.67255986041329","3.94633072156501","4.26739097630904","4.57413879181228","4.50370106126817","4.85512381402307","4.74086293917791","2.83358189314852","3.60580155604649","3.90631653655075","4.12987912777252","4.28613793486924","4.46439246921188","4.29576493309422","4.27241341315606","4.66562273930203","4.50053873852303","4.71123491179201","4.99021526418787","5.00284093555268","5.14838649937497","",
"Africa Eastern and Southern","AFE","Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita)","EN.GHG.CO2.PC.CE.AR5","","","","","","","","","","","1.35567134537109","1.30899106090918","1.32231735196477","1.40180017970084","1.39829816086415","1.42197868536382","1.44353624646735","1.4215621541821","1.28408090461014","1.27328737791503","1.30900356809804","1.31914299993039","1.29309255022719","1.26533543531829","1.29820321819487","1.28907910675174","1.25374636692585","1.29058345898717","1.27348918004643","1.22743567818719","1.23288364528172","1.1746426443144","1.12406414849693","1.0933250941902","1.08887466616039","1.11727345580129","1.1287008570523","1.14498438860894","1.13615440775396","1.07376338854699","1.0622421586223","1.06415409635223","1.06934927513265","1.09630907924875","1.15053019878162","1.15252506257628","1.14239262022554","1.160496830435","1.19288937244139","1.10870336991863","1.10738321159763","1.06523535264226","1.0733508354952","1.08764447453486","1.09673469389234","1.04629121620399","1.02549175379521","1.0130084445419","0.998509432404654","0.984697077678186","0.897581461901748","0.899169592257325","0.858131540848484","0.838104192853686","0.837679788408201","",
"Afghanistan","AFG","Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita)","EN.GHG.CO2.PC.CE.AR5","","","","","","","","","","","0.15347921653324","0.149779553647248","0.142774034360254","0.142498777965025","0.175521510046373","0.158729239200329","0.144817884981996","0.170987311363764","0.141990844319863","0.150685797228339","0.152225124002311","0.189158925916398","0.209964574050679","0.274602028103728","0.287795924673874","0.360011663754812","0.344235948033261","0.286358633409842","0.266711838919726","0.242755485726567","0.24144795718956","0.231491789403262","0.136358426486866","0.118642815594975","0.102991890734693","0.0851174240746249","0.0791295924972356","0.0744360083634966","0.0735542951052808","0.068549614750964","0.0501382814099344","0.0463511028500998","0.0439140640871224","0.0447454276810823","0.038301143932592","0.052297588398106","0.0557935319150409","0.0796685368947688","0.14737589049906","0.224491273806937","0.278191742360873","0.392640542832169","0.323442048526517","0.266539509081829","0.242701667084292","0.24909135686806","0.219353479990497","0.2913283907183","0.321418704642259","0.319752781855278","0.310824605884889","0.312156784785117","0.278420956418618","0.280995468771367","0.2829802981146","",
"Africa Western and Central","AFW","Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita)","EN.GHG.CO2.PC.CE.AR5","","","","","","","","","","","0.353117562447672","0.457578564471032","0.550486269346703","0.698104530164038","0.844239606086893","0.658718005447618","0.727098380809209","0.618382883749668","0.625334202963597","0.802392238281284","0.71938936303174","0.603695695289116","0.562750147376591","0.558012827289176","0.550518266884264","0.558077351981339","0.529113601088846","0.497212007350616","0.521321943342356","0.532369839218787","0.490471187098065","0.501997156233519","0.528408487898771","0.50639793889619","0.477734188874033","0.507305040880102","0.571286022386762","0.553422207132627","0.518760751578133","0.511938974984432","0.532846230654408","0.549678923121197","0.500760903363287","0.528316162801754","0.509949952083857","0.49998850874155","0.463581453079197","0.436395837396212","0.449868685797778","0.415925385739169","0.455503589914399","0.472250947112022","0.468177383760881","0.498386225371945","0.511575107019229","0.501555690461132","0.513155585290625","0.490150552582322","0.506406830322649","0.516134318686947","0.498326745083038","0.52634914230718","0.521524499284441","0.494008435504324","0.50201616410249","",
"Angola","AGO","Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita)","EN.GHG.CO2.PC.CE.AR5","","","","","","","","","","","1.5264349229803","1.42204222194848","1.67892130265933","1.77615250336228","1.78526308913448","1.59353857336612","1.03072032820216","1.6444084714196","1.87630976618686","1.80694863790391","1.76007195589013","1.56862452221873","1.45933657295175","1.45562311412451","1.41700802160681","1.44223611122473","1.40502689988116","1.38139609051675","1.37560995281316","1.34390858901699","0.965977313621804","0.979787215550443","0.975473352891632","0.946571467439923","0.867222993556716","0.945540869348394","1.10640250320144","1.11880886302453","1.12382638592501","1.15090505759312","1.0195821898899","0.966865641126569","0.918500488726172","0.965781216283453","0.951069768682142","0.810676972733782","0.815392081219552","0.820841250748789","0.88603761448524","0.940848252177258","0.976178185498281","0.976536306021153","0.981682218580684","1.09052642360471","1.13720270585859","1.17503861630089","1.07167614647808","0.92592191412033","0.824809795011719","0.833846270553112","0.613970253682297","0.740292552255736","0.748810952279567","0.743838637301548","0.741712294740973","",
"Albania","ALB","Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita)","EN.GHG.CO2.PC.CE.AR5","","","","","","","","","","","2.26885864951142","2.21139171598823","2.46013821782637","2.15608824984152","2.2678377821766","2.25554311300877","2.35779487383904","2.46703263039547","2.65798635059655","3.03182175173961","3.01519799610553","2.59448081770881","2.61220323545278","2.73994711599319","2.90291138120436","2.72335519680838","2.69681916605875","2.68931980587656","2.60942814517607","2.44926877581172","2.02191239302586","1.34064326142788","0.727801544730445","0.688751883548008","0.730872545156157","0.649416648053946","0.648730616126789","0.502051754592427","0.612076598274589","0.992962508098037","1.04657550743325","1.12398874181296","1.31323725585954","1.38556975617973","1.45837098137756","1.3776914859669","1.3817995172674","1.42962144661125","1.42332985219763","1.46321851369709","1.56778821711206","1.72129581663193","1.58649537107597","1.69345614437421","1.83944794209463","1.78508860089342","1.68739628528903","2.0244422333699","2.04549315439886","1.94096037816015","1.80646079858255","2.0532886275877","1.84525761573088","1.74914408919284","1.7852214941728","",
"Andorra","AND","Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita)","EN.GHG.CO2.PC.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita)","EN.GHG.CO2.PC.CE.AR5","","","","","","","","","","","2.30548185556676","2.38878955288796","2.58501393650524","2.89669233778549","2.75372428736557","2.68120331074826","3.05929136747584","3.05886965739874","3.1664969304317","3.2831315942414","3.33961707053402","3.04509086334107","3.06612538324322","3.08128180773286","2.93861710433309","2.95186709127037","2.98974149740972","3.03598156495555","3.10844602162739","3.16448140619841","3.05423297516922","3.07267191603313","3.19240940653626","3.32207356240006","3.43364616461073","3.44826363092495","3.45346265451008","3.53178016723461","3.49119329179087","3.46484733001756","3.51215227162771","3.633115264201","3.66779172215313","3.68950797028463","3.80568021763045","3.97948589176681","4.0799244861769","4.13897390481685","4.33298977663114","4.37657957919495","4.54319728443172","4.56520875403576","4.77443109767095","4.75135321426347","4.81372596274567","4.80405395156763","4.75246713161632","4.73116992781887","4.61885878026092","4.57737026452394","4.36164535072922","4.49856109572882","4.51655911861293","4.55256379383056","4.57571631886073","",
"United Arab Emirates","ARE","Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita)","EN.GHG.CO2.PC.CE.AR5","","","","","","","","","","","67.9314292095932","75.9037331319565","72.0685481566904","82.1349269819592","73.6284137586973","67.5674580367538","74.011229715555","64.5956331164488","65.0106144519656","41.5340840560959","40.5026090381018","34.6004700619627","32.635441583717","29.7843852327968","38.2705613187177","37.6014851467185","34.2338026268534","33.0749235823672","30.3184467959101","31.8104691396099","29.9689182497287","32.254241697257","29.565192719638","29.6630699075151","31.1695189563729","31.7918873338476","31.1410228968372","29.9216656432681","28.4428044668814","27.2970466401042","25.3198800655489","27.1939982651151","26.1619793238318","25.956044391153","25.9698706267172","26.2522643034306","25.3932243317163","24.382755503246","26.0607102012736","24.6511808903397","25.0301244367043","24.9498559934509","25.0303188225095","25.3545579109196","24.5815838321273","24.3205333372838","23.7748451471417","22.1639068763908","20.0375833141554","20.945786930361","20.8141058466097","20.8269278649571","19.3731459635094","18.3804823292732","18.2552064370494","",
"Argentina","ARG","Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita)","EN.GHG.CO2.PC.CE.AR5","","","","","","","","","","","3.66943211725009","3.62538013443262","3.64247302665344","3.70723394808873","3.66560281895489","3.51578897003093","3.63892284395537","3.7289913547043","3.635206606124","3.78397102966949","3.63699019506065","3.47276357445568","3.39019194335883","3.45310651453292","3.37834396457192","3.10723990332287","3.30035914602048","3.42907823471238","3.49543236091831","3.33997935232643","3.05886258479045","3.17787739103362","3.19131030716968","3.25852259426388","3.31354326554348","3.31576942357033","3.56458686347583","3.64279129140369","3.79486518244647","3.80302240416156","3.67485781688948","3.49042420795313","3.26103662726385","3.51848864736106","3.85579719412006","3.91742679391727","4.1027920897206","4.32534235715168","4.43359004127929","4.03429401041948","4.2945461050427","4.42921822947444","4.47886128746974","4.53658672333476","4.41674615124171","4.51258701954955","4.4223010437306","4.32102910494897","4.25075806940885","4.07504069344001","3.72002854932287","4.09769704597303","4.2953116708492","4.16990486776205","4.01066531653131","",
